title,2024-08-28,2024-05-29
TSY INFL IX N/B 01/24 0.625,,
TSY INFL IX N/B 04/24 0.5,,
TSY INFL IX N/B 07/24 0.125,2.19,2702.61
TSY INFL IX N/B 10/24 0.125,2222.12,2274.92
TSY INFL IX N/B 01/25 2.375,320.37,536.01
TSY INFL IX N/B 01/25 0.25,2009.98,2197.53
TSY INFL IX N/B 04/25 0.125,1221.19,1065.12
TSY INFL IX N/B 07/25 0.375,657.83,484.25
TSY INFL IX N/B 10/25 0.125,767.69,785.38
TSY INFL IX N/B 01/26 2,170.47,168.97
TSY INFL IX N/B 01/26 0.625,437.24,290.46
TSY INFL IX N/B 04/26 0.125,383.28,387.42
TSY INFL IX N/B 07/26 0.125,366.67999999999995,338.65999999999997
TSY INFL IX N/B 10/26 0.125,1016.3499999999999,1001.95
TSY INFL IX N/B 01/27 0.375,459.13,453.18
TSY INFL IX N/B 01/27 2.375,47.13,46.76
TSY INFL IX N/B 04/27 0.125,188.70999999999998,185.89
TSY INFL IX N/B 07/27 0.375,240.31,266.42
TSY INFL IX N/B 10/27 1.625,592.98,587.21
TSY INFL IX N/B 01/28 1.75,361.68,358.5
TSY INFL IX N/B 01/28 0.5,918.99,911.9599999999999
TSY INFL IX N/B 04/28 1.25,699.12,691.67
TSY INFL IX N/B 04/28 3.625,309.36,307.88
TSY INFL IX N/B 07/28 0.75,639.79,632.68
TSY INFL IX N/B 10/28 2.375,642.3499999999999,356.2
TSY INFL IX N/B 01/29 0.875,331.76,309.03999999999996
TSY INFL IX N/B 01/29 2.5,284.97,220.44
TSY INFL IX N/B 04/29 3.875,341.07000000000005,339.64000000000004
TSY INFL IX N/B 04/29 2.125,1196.12,
TSY INFL IX N/B 07/29 0.25,1910.64,1929.8700000000001
TSY INFL IX N/B 01/30 0.125,557.45,551.48
TSY INFL IX N/B 07/30 0.125,1883.75,1868.4899999999998
TSY INFL IX N/B 01/31 0.125,522.9300000000001,487.58000000000004
TSY INFL IX N/B 07/31 0.125,1151.72,1160.56
TSY INFL IX N/B 01/32 0.125,773.69,759.27
TSY INFL IX N/B 04/32 3.375,16.650000000000002,16.62
TSY INFL IX N/B 07/32 0.625,2329.4500000000003,2284.09
TSY INFL IX N/B 01/33 1.125,727.68,674.2
TSY INFL IX N/B 07/33 1.375,1862.8600000000001,1829.1400000000003
TSY INFL IX N/B 01/34 1.75,156.25,403.22
TSY INFL IX N/B 02/40 2.125,203.19,207.73000000000002
TSY INFL IX N/B 02/41 2.125,157.18,185.68
TSY INFL IX N/B 02/42 0.75,443.9,439.90999999999997
TSY INFL IX N/B 02/43 0.625,164.32,162.94
TSY INFL IX N/B 02/44 1.375,518.58,518.26
TSY INFL IX N/B 02/45 0.75,546.77,569.37
TSY INFL IX N/B 02/46 1,441.54,443.5
TSY INFL IX N/B 02/47 0.875,460.72,488.44
TSY INFL IX N/B 02/48 1,329.58,324.22
TSY INFL IX N/B 02/49 1,582.28,601.23
TSY INFL IX N/B 02/50 0.25,330.31,340.84000000000003
TSY INFL IX N/B 02/51 0.125,555.97,532.46
TSY INFL IX N/B 02/52 0.125,186.18,183.16000000000003
TSY INFL IX N/B 02/53 1.5,765.31,668.58
TSY INFL IX N/B 02/54 2.125,110.9,90.3
